kafka-exporter  | 2025-10-12T12:01:57.585021322Z I1012 12:01:57.583846       1 kafka_exporter.go:847] Starting kafka_exporter (version=1.9.0, branch=master, revision=18b18d5e798095722c9189bc27db3842fab31a98)
kafka-exporter  | 2025-10-12T12:01:57.608523344Z I1012 12:01:57.608417       1 kafka_exporter.go:1026] Listening on HTTP :9308
kafka-exporter  | 2025-10-12T12:02:01.128917670Z I1012 12:02:01.128448       1 kafka_exporter.go:701] [kafka:29092]
kafka-exporter  | 2025-10-12T12:02:31.212276100Z I1012 12:02:31.212140       1 kafka_exporter.go:701] [kafka:29092]
kafka-exporter  | 2025-10-12T12:03:01.128723173Z I1012 12:03:01.128583       1 kafka_exporter.go:701] [kafka:29092]
kafka-exporter  | 2025-10-12T12:03:31.124757711Z I1012 12:03:31.124574       1 kafka_exporter.go:701] [kafka:29092]
kafka-exporter  | 2025-10-12T12:04:01.162136034Z I1012 12:04:01.161960       1 kafka_exporter.go:701] [kafka:29092]
kafka-exporter  | 2025-10-12T12:04:31.124301649Z I1012 12:04:31.124114       1 kafka_exporter.go:701] [kafka:29092]
kafka-exporter  | 2025-10-12T12:05:01.120248483Z I1012 12:05:01.120120       1 kafka_exporter.go:701] [kafka:29092]
kafka-exporter  | 2025-10-12T12:05:31.120704629Z I1012 12:05:31.120465       1 kafka_exporter.go:701] [kafka:29092]
kafka-exporter  | 2025-10-12T12:06:01.121480239Z I1012 12:06:01.121354       1 kafka_exporter.go:701] [kafka:29092]
kafka-exporter  | 2025-10-12T12:06:31.124781664Z I1012 12:06:31.124610       1 kafka_exporter.go:701] [kafka:29092]
nginx           | 2025-10-12T12:01:57.886855018Z /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
nginx           | 2025-10-12T12:01:57.887857399Z /docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
nginx           | 2025-10-12T12:01:57.890237345Z /docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
nginx           | 2025-10-12T12:01:57.893463138Z 10-listen-on-ipv6-by-default.sh: info: /etc/nginx/conf.d/default.conf is not a file or does not exist
nginx           | 2025-10-12T12:01:57.893786872Z /docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
nginx           | 2025-10-12T12:01:57.894677021Z /docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
nginx           | 2025-10-12T12:01:57.907721628Z /docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
nginx           | 2025-10-12T12:01:57.923033285Z /docker-entrypoint.sh: Configuration complete; ready for start up
nginx           | 2025-10-12T12:01:58.104986887Z 2025/10/12 12:01:58 [notice] 1#1: using the "epoll" event method
nginx           | 2025-10-12T12:01:58.105005221Z 2025/10/12 12:01:58 [notice] 1#1: nginx/1.29.2
nginx           | 2025-10-12T12:01:58.105010050Z 2025/10/12 12:01:58 [notice] 1#1: built by gcc 14.2.0 (Alpine 14.2.0) 
nginx           | 2025-10-12T12:01:58.105014608Z 2025/10/12 12:01:58 [notice] 1#1: OS: Linux 6.8.0-1030-azure
nginx           | 2025-10-12T12:01:58.105018956Z 2025/10/12 12:01:58 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1024:1048576
nginx           | 2025-10-12T12:01:58.119088277Z 2025/10/12 12:01:58 [notice] 1#1: start worker processes
nginx           | 2025-10-12T12:01:58.120955903Z 2025/10/12 12:01:58 [notice] 1#1: start worker process 20
nginx           | 2025-10-12T12:01:58.120969990Z 2025/10/12 12:01:58 [notice] 1#1: start worker process 21
nginx           | 2025-10-12T12:01:58.121597792Z 2025/10/12 12:01:58 [notice] 1#1: start worker process 22
nginx           | 2025-10-12T12:01:58.121606027Z 2025/10/12 12:01:58 [notice] 1#1: start worker process 23
nginx           | 2025-10-12T12:02:13.743681428Z {"timestamp":"2025-10-12T12:02:13+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/favicon.ico","status":200,"body_bytes_sent":3286,"request_time":0.000,"upstream_response_time":"","upstream_addr":"","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
